=== Piratenadmiral, Schritt 5 / M3: Rundendeckel-Gegenprobe ===
Alle Zellen mit forschungsskaliertem Boss (Empfehlung aus M2). Einzige Variable ist MAX_ROUNDS.
Der Quellcode bleibt auf 100 - variiert wird nur die kompilierte Konstante in einem Messbuild.
Frage: haengt der empfohlene Faktor am Deckel, oder waere der Ausgang ohne Deckel derselbe?

Deckel  Profil/Flotte    Faktor  Tiefe    Sieg  Niederl.  Extrakt.  Verl.Ende  Runden oe  max  amDeckel  vernicht.Macht
100     voll/real         1.75x   3.63   47.5%     35.0%     17.5%      17.7%         70  100     52.5%       96.22 Mrd
300     voll/real         1.75x   2.60   67.5%     27.5%      5.0%      12.2%        189  300     40.0%       81.37 Mrd
1000    voll/real         1.75x   1.75   87.5%     12.5%      0.0%       7.1%        310 1000     27.5%       68.50 Mrd
100     mittel/real        1.5x   4.60   25.0%     67.5%      7.5%      27.3%         98  100     75.0%       93.83 Mrd
300     mittel/real        1.5x   4.35   30.0%     67.5%      2.5%      26.1%        237  300     70.0%       88.98 Mrd
300     voll/real            2x   4.08   30.0%     70.0%      0.0%      27.3%        241  300     70.0%      110.34 Mrd
300     schwach/real         1x   3.15    0.0%    100.0%      0.0%      42.5%        296  300    100.0%       32.26 Mrd
300     mittel/real          2x   4.08    0.0%    100.0%      0.0%      40.0%        298  300    100.0%       92.05 Mrd
